word,definition,part of speech,example,source
ample, more than enough,adjective,,Barron
defy, to show little fear or regard for rules or established norms; to change,verb,,Barron
diligent, done with persistence and hard work; with attention to details,adjective,,Barron
enact, to pass a law,verb,,Barron
feign, to pretend; make believe,verb,,Barron
fertile, able to produce abundantly,adjective,,Barron
freshly, caught or produced not long ago,adverb,,Barron
indiscriminate, not chosen carefully; unplanned,adjective,,Barron
selective, carefully chosen,adjective,,Barron
spacious, having a lot of room,adjective,,Barron
withstand, to fight without surrender; to persist,verb,,Barron
gain, to obtain something needed or useful; to increase to the amount of something,verb,,Barron
halt, to stop or discontinue,verb,,Barron
handle, to deal with or control,verb,,Barron
harbor," to give protection; to not express a desire or opinion, usually bad",verb,,Barron
harmful, something that cause pain or damage,adjective,,Barron
insignificant, not important; of little value,adjective,,Barron
mysterious, not easily understood or figured out,adjective,,Barron
perilous, threatening or risky; harmful,adjective,,Barron
promote, to encourage or advertise; to elevate in rank or grade,verb,,Barron
redundant, being excessive; showing unnecessary repetition,adjective,,Barron
substantial, important; strongly made; of value,adjective,,Barron
trait, specific qualities that distinguish one from another,noun,,Barron
dominant, primary or principal; having or exercising control over something,adjective,,Barron
dormant, not growing or producing; asleep,adjective,,Barron
drab," lacking color; unintenteresting, boring",adjective,,Barron
dramatic, something that captures the imagination; exciting,adjective,,Barron
eclectic, to select or represent something chosen from many sources or places,adjective,,Barron
elaborate, something with a large number of parts; full of details,adjective,,Barron
exceptional, unusual in a positive way,adjective,,Barron
hazardous," very risky, unsafe",adjective,,Barron
minuscule, of little consequence; very small,adjective,,Barron
prime, to make ready; first in importance or in time,verb,,Barron
rudimentary, simple; not complex,adjective,,Barron
skeptical, to question the truthfulness of information presented as fact; to nott trust,adjective,,Barron
superficial, simple; not deeep; near the surface,adjective,,Barron
vigorous," powerful, full of action",adjective,,Barron
amenity, something that makes life easier or more enjoyable,noun,,Barron
element, a part of the whole; environmrnt,noun,,Barron
elementary," simple in structurre, easy to do",adjective,,Barron
eliminate," to remove, free oneself of something",verb,,Barron
encircle, to make a circle around,verb,,Barron
exaggerate, to make something more than what it is,verb,,Barron
mention, to say; relate in written form,verb,,Barron
release, to allow to come out; to give freedom,verb,,Barron
blind, unable to see or understand; to conceal; showing poor judgment or understanding,adjective,,Barron
broaden, to make larger or greater,verb,,Barron
burgeon, growing at a fast pace,verb,,Barron
conspicuously, attracting attention,adverb,,Barron
enormous, very large,adjective,,Barron
entirely, completely,adverb,,Barron
evaporate, to vanish,verb,,Barron
noteworthy, deserving positive recognition or attention,adjective,,Barron
recover, to get back; to have something returned,verb,,Barron
reportedly, to know by report; unconfirmed; supposedly,adverb,,Barron
susceptible, to be subject to influence; capable of being affected by a person or thing,adjective,,Barron
clarify, to make more easily understood; to make clear,verb,,Barron
conceal, to prevent from being seen or discovered,verb,,Barron
confirm, to make certain; give support,verb,,Barron
convenient, easy to reach; near; suitable to one's needs,adjective,,Barron
critical, very serious or unsafe; finding fault,adjective,,Barron
eventually," to happen at some time in the future, usually gradually",adverb,,Barron
prosperous," successful, wealthy",adjective,,Barron
purposefully, done for a special reason,adverb,,Barron
reveal, to uncover; to expose,verb,,Barron
scarcely, almost not,adverb,,Barron
theoretically," according to a reasoned, but not proven, point of view",adverb,,Barron
accelerate, to go faster,verb,,Barron
creep, to move slowly and quietly close to the ground; to begin to happen,verb,,Barron
crush, to press together so as to completely distort the shape or nature of the object,verb,,Barron
cultivate, to plan and raise a crop; to encourage growth of a relationship or friendship,verb,,Barron
dictate, to state demands with the power to enforce,verb,,Barron
distinguish," to hear, see, or recognize differences",verb,,Barron
engender, to cause something new to exist; to create,verb,,Barron
engross, to become completely occupied or involved,verb,,Barron
flaw, a small sign of damage that makes an item imperfect,noun,,Barron
harvest, the act of collecting a crop; the crops gathered,noun,,Barron
mirror," to show, as in a mirror",verb,,Barron
particle, a very small piece of something,noun,,Barron
settle, to establish a home; to resolve a disagreement,verb,,Barron
transport, to move from one place to another,verb,,Barron
classify, to place into groups according to type,verb,,Barron
currency, monetary unit; cash,noun,,Barron
deep, far below the surface; complete understanding,adjective,,Barron
dense, closely packed or crowded; difficult to see though,adjective,,Barron
dim, not bright or clear,adjective,,Barron
display, to show; reveal,verb,,Barron
exports, products sold abroad,noun,,Barron
gigantic, very large,adjective,,Barron
impressive," causing admiration because of an object's importance, size, or quality",adjective,,Barron
install, to set up or create an office; to place in a fixed position,verb,,Barron
lasting, forever; without end,adjective,,Barron
straightforward, easy to understand; simple; honest,adjective,,Barron
uniform, every part being the same,adjective,,Barron
vibrant, lively; powerful; full of action; bright,adjective,,Barron
arbitrary," an action or decision made with little thought, order, or reason",adjective,,Barron
assert, to express or defend oneself strongly; to state positively,verb,,Barron
astounding, very surprising,adjective,,Barron
concur, to have the same opinion or draw the same conclusion,verb,,Barron
deceptively, making something appear true or good when it is false or bad,adverb,,Barron
designate," to specify, name, or select to do to a task; to indicate",verb,,Barron
determined," strong in one's opinion, firm in conviction, to find out",adjective,,Barron
instigate, to cause a conflict or argument,verb,,Barron
petition, to make a request,verb,,Barron
relinquish, to give up control,verb,,Barron
resilient, strong enough to recover from difficulty or disease,adjective,,Barron
temp," to make it attractive to do something, usually something not good",verb,,Barron
bear," to produce, to carry; to show; to endure",verb,,Barron
blur, to make something difficult to see,verb,,Barron
brilliant, intensely bright or colorful; intelligent,adjective,,Barron
caution," to alert someone of danger, warn someone to take care or pay attention to something",verb,,Barron
delicate," needing careful treatment; sensitive, easily broken",adjective,,Barron
enhance," to increase in a positive way, such as in value, power, or beauty",verb,,Barron
in conjunction with," ph  in addition to, alongside",preposition,,Barron
intrigue, to interest greatly,verb,,Barron
obstruct," to prevent movement, progress, or success",verb,,Barron
persuade, to change a belief or behavior by argument or reason,verb,,Barron
shed, to throw off naturally; to give out,verb,,Barron
unique, to be the only one of a kind; special,adjective,,Barron
well-suited, to be complementary or appropriate; a good match,adjective,,Barron
chiefly, the most important or most common,adverb,,Barron
coarse, not fine or smooth; not delicate,adjective,,Barron
commonplace, ordinary,adjective,,Barron
comparatively, being measured or judged by comparison,adverb,,Barron
conventional, following accepted rules or standards,adjective,,Barron
curious, odd or strange; eager to learn,adjective,,Barron
exceedingly, very; to an unusual degree,adverb,,Barron
exclusively, no one else; nothing else; not shared,adverb,,Barron
immense, extremely large,adjective,,Barron
routinely, regularly; usually done,adverb,,Barron
sufficiently, enough; in a satisfying manner,adverb,,Barron
visibly, can be seen,adverb,,Barron
abroad, to or in another country,adverb,,Barron
acceptable, allowable or satisfactory,adjective,,Barron
acclaim, enthusiastic approval; applause,noun,,Barron
actually," being in existence, real or factual",adverb,,Barron
advice, a recommendation,noun,,Barron
attractive, calling attention to; pleasing; creating,adjective,,Barron
autonomous, by itself; with no association,adjective,,Barron
disapproval, the act of disagreeing; not giving approval,noun,,Barron
disruptive, causing confusion and interruption,adjective,,Barron
haphazardly, having no order or pattern; by chance,adverb,,Barron
withdraw," to remove, take out, or take back",verb,,Barron
advantage, something that may help one to be successful or to gain something,noun,,Barron
agile, able to move in a quick and easy way,adjective,,Barron
albeit," in spite of the fact, regardless of the fact",conjunction,,Barron
appealing, attractive or interesting,adjective,,Barron
collide, to hit one object against another with violent force; to be in opposition,verb,,Barron
contemporary," modern, up-to-date, or (n ) person living at the same time as another person",adjective,,Barron
encourage," to promote, help, or support",verb,,Barron
energetic," full of life, action, or power",adjective,,Barron
frail, weak in health or in body,adjective,,Barron
myth, an invented story or idea,noun,,Barron
refine, to make pure; to improve,verb,,Barron
worthwhile, value in doing something,adjective,,Barron
alter, to change or make different,verb,,Barron
ancient, something from a long time ago; very old,adjective,,Barron
annoying, a slight bother; disturbing to a person,adjective,,Barron
anticipate, to think about or prepare for something ahead of time,verb,,Barron
enrich, to make rich; to make something of greater value,verb,,Barron
intensify, to make stronger in feeling or quality,verb,,Barron
intolerable, difficult or painful to experience; not able to accept different ways of thought or behavior,adjective,,Barron
ongoing, continuing,adjective,,Barron
propose, to suggest or plan to do something,verb,,Barron
restore, to give back or bring back something; to return to the original condition,verb,,Barron
vital, of great importance; full of life,adjective,,Barron
acid,something that contains acid or tastes sour.,adjective,,Quizlet
cosmic,relating to or resembling the universe.,adjective,,Quizlet
dilute,to make something thinner by adding water or other solvent; to weaken something.,verb,,Quizlet
flow,a steady movement of a liquid/gas/electricity.,verb,,Quizlet
insulate,to cover something in a way that stops heat and sound from escaping.,verb,,Quizlet
magnetic,"attractive to oppositely charged materials, and repellent to the same charge.",adjective,,Quizlet
pesticide,a chemical used to kill animals or plants considered pests.,noun,,Quizlet
pharmacy,the field science that study various medical substances.,noun,,Quizlet
psychotherapy,"a generalized term for dealing with mental health issues through consultation with a psychiatrist, psychologist, or other mental health professionals.",noun,,Quizlet
reflect,"to bounce light or sound off, like a mirror.",verb,,Quizlet
sample,a small part of a whole presented as a representative specimen.,noun,,Quizlet
sociology,the science of society and human social interactions.,noun,,Quizlet
substance,"something with particular qualities that define it. it can be liquid, solid or gas.",noun,,Quizlet
vision,the ability to see or the faculty of sight; the act of looking or seeing something.,noun,,Quizlet
anthropology,a science that studies all aspect of humanity. it focuses on culture but involves biology as well.,noun,,Quizlet
bacterial,referring to something related to bacteria.,adjective,,Quizlet
botanical,"relating to botany, the science of plants.",adjective,,Quizlet
botany,"the science of plants. it deals with the structure, classification, and other specificities regarding plant life.",noun,,Quizlet
carbon footprint,the total greenhouse gas emissions caused by all the activities of a person or entity.,noun,,Quizlet
caustic,capable of eroding and destroying other sustances.,adjective,,Quizlet
centiliter,unit for measuring capacity of liquid equal to a hundredth of a liter.,noun,,Quizlet
condensation,small drops of water that form on a cold surface when it comes into contact with heat.,noun,,Quizlet
corrode,to chemically erode or damage a metal.,verb,,Quizlet
evaporation,a liquid turning into gas.,noun,,Quizlet
hydroelectric,using water to power electricity.,adjective,,Quizlet
kilowatt,one thousand watts of electric energy.,noun,,Quizlet
light year,the distance that light goes over the course of a year; a very long distance.,noun,,Quizlet
liquidate,to turn solid matter into a liquid state.,verb,,Quizlet
mutation,any process or action that changes an organism.,noun,,Quizlet
nebula,"a cosmic body consisted of cosmic dust and gas, usually visible during the night as a bright spot.",noun,,Quizlet
parameter,"a constant value in experimenting, solving equations, etc., but varied in other versions of said experimenting or equation-solving.",noun,,Quizlet
pendulum,a body suspended from a fixed support that swings freely.,noun,,Quizlet
saturate,to completely fill with a substance.,verb,,Quizlet
solstice,a point in time when the earth is at the extreme of its ellipsis around the sun.,noun,,Quizlet
carbon dioxide,the gas created by burning carbon or when an animal or person breathes out.,noun,,Quizlet
classification,the act of assigning something to a specific category.,noun,,Quizlet
compound,a chemical mixture combining two or more elements.,noun,,Quizlet
decay,"to break down, rot or decompose.",verb,,Quizlet
evidence,physical or verbal factual information used to determine whether something is true or false.,noun,,Quizlet
evolution,a process in which something or someone develops and progresses.,noun,,Quizlet
explore,to investigate and analyze a topic or an area that is unfamiliar in order to gain knowledge.,verb,,Quizlet
geology,the study of the physical properties of the earth.,noun,,Quizlet
polar,pertaining to a pole or polarity.,adjective,,Quizlet
pressure,physical force.,noun,,Quizlet
shuttle,a vessel that travels into space and returns.,noun,,Quizlet
thermal,"relating to heat, the cause of heat, or the retention of heat.",adjective,,Quizlet
X-ray,a photograph taken using beams of radiation that allows you to examine the bones and organs inside a body.,noun,,Quizlet
bacteria,microscopic single-celled organisms with cell walls; plural of bacterium.,noun,,Quizlet
centimeter,unit of length measurement equal to one-hundredth of a meter.,noun,,Quizlet
control,an unchanging value or answer that is used as a reference in experiments.,noun,,Quizlet
Earth,"the name given to the third planet from the sun in the solar system, inhabited by humans.",noun,,Quizlet
engineering,one's applied knowledge of physical sciences to design and build technology for social improvement.,noun,,Quizlet
experiment,"a scientific test in controlled conditions used to investigate a hypothesis, prove a known fact, or make a discovery.",noun,,Quizlet
force,energy caused by using physical strength.,noun,,Quizlet
fuel,"to provide something with energy, power, or heat.",verb,,Quizlet
negative,not showing any evidence of positive result or condition,adjective,,Quizlet
nuclear,relating to an atom's nucleus or the energy produced by splitting or joining the nucleus.,adjective,,Quizlet
physics,"a branch of science concerned with matters of space, time, matter, and energy.",noun,,Quizlet
power,electrical energy that households run on.,noun,,Quizlet
sense,a way in which living creatures see the physical world.,noun,,Quizlet
weight,a value of measurement with regard to how heavy the subject is.,noun,,Quizlet
astronomical,describing something related to outer space.,adjective,,Quizlet
congeal,to transition matter from a liquid to a solid state.,verb,,Quizlet
constellation,"a set pattern, typically denoting stars.",noun,,Quizlet
diffusion,a process where its components spread into an environment.,noun,,Quizlet
distillation,a process that isolates a substance from a mixture by evaporation and condensation,noun,,Quizlet
hybrid,an organism created by combining or crossing two species.,noun,,Quizlet
impure,not being pure or clean because some other substance has been mixed in.,adjective,,Quizlet
lunar,"having a connection to a moon, usually the one orbiting earth.",adjective,,Quizlet
magnet,an object that exerts a specific type of physical force by moving electrical charges.,noun,,Quizlet
morphology,"a study of form and structure in many different disciplines, such as linguistic, biology, geology, and mathematics.",noun,,Quizlet
neurology,the branch of medicine that relates to the human nervous system.,noun,,Quizlet
obstetrics,the branch of medicine that specializes in childbirth and antenatal and posnatal medical care.,noun,,Quizlet
paleontology,a branch of science concerned with fossils of animals and plants.,noun,,Quizlet
refract,to change the direction of a light ray through an angled surface.,verb,,Quizlet
soluble,can be dissolved.,adjective,,Quizlet
solvent,"a liquid that can dissolve a solid, liquid, or gaseous solute.",noun,,Quizlet
venom,a poisonous substance.,noun,,Quizlet
zodiac,an astrological system that connects events in space to what happens on earth.,noun,,Quizlet
alkali,"hydroxides of sodium and potassium, a term used in chemistry.",noun,,Quizlet
barometer,an instrument used for measuring or recording atmospheric pressure changes.,noun,,Quizlet
carbon neutral,relating to having net-zero greenhouse gas emissions.,adjective,,Quizlet
corrosion,the process of chemical erosion or damage to metal.,noun,,Quizlet
cosmos,"denoting the universe, usually seen as an ordered place.",noun,,Quizlet
distill,to isolate a substance from a mixture by evaporating and condensing it.,verb,,Quizlet
eclipse,"the event where astronomical objects align, obscuring the view of one or the other.",noun,,Quizlet
experimentation,the process of using trial and error to determine or reach a particular outcome.,noun,,Quizlet
fetus,a young unborn offspring (usually a mammal).,noun,,Quizlet
formulation,the act of creating or preparing something.,noun,,Quizlet
gynecology,"a branch of medicine that specializes in medical problems of women, particularly involving the reproductive system.",noun,,Quizlet
inert,doesn't produce a chemical reaction when combined with another substance.,adjective,,Quizlet
infinite,lacking bounds or going on forever.,adjective,,Quizlet
monograph,a detailed written study of a single specialized subject.,noun,,Quizlet
optometry,the study of the people's eyes.,noun,,Quizlet
physiology,a branch of biology concerned with the functions of life and the living.,noun,,Quizlet
pneumatic,relating to air or other gases.,adjective,,Quizlet
recessive,to describe a genetic trait that is not expressed unless two copies of the gene are inherited from each parent.,adjective,,Quizlet
saline,containing salt.,adjective,,Quizlet
sediment,a collection of particles that settles to the bottom of a fluid.,noun,,Quizlet
spectrum,a range of colors formed when light is dispersed.,noun,,Quizlet
unleaded,one that does not contain lead or is not coated with lead.,adjective,,Quizlet
alien,a creature from outer space.,noun,,Quizlet
biology,a science analyzing life and living organisms.,noun,,Quizlet
clone,someone or something that is an identical copy of another.,noun,,Quizlet
cutting-edge,very modern and advanced; pioneering.,adjective,,Quizlet
dissolve,to combine something with a liquid until both substances unify.,verb,,Quizlet
emission,act of sending out gas/heat/light.,noun,,Quizlet
experimental,"using ideas, methods, and theories to find out a result.",adjective,,Quizlet
fumes,an amount of gas that is strong smelling and dangerous to inhale.,noun,,Quizlet
microscope,an instrument used for examining small objects which could not be seen with the naked eye.,noun,,Quizlet
nucleus,an organelle that contains the genetic material in the cell.,noun,,Quizlet
scale,a machine that is used to make measurements.,noun,,Quizlet
solution,"a mixture, usually liquid, in which one or more substances are dissolved in another.",noun,,Quizlet
telescope,cylindrical device for looking at objects that are far away.,noun,,Quizlet
